"date","shrub_num","aspect","tag_num","treatment","species","counts"
"2019-07-09",5,"north",104,"shrub","POLVIV",0
"2019-07-16",5,"north",104,"shrub","POLVIV",0
"2019-07-23",5,"north",104,"shrub","POLVIV",2
"2019-07-30",5,"north",104,"shrub","POLVIV",2
"2019-08-06",5,"north",104,"shrub","POLVIV",6
"2019-08-13",5,"north",104,"shrub","POLVIV",5
"2019-08-19",5,"north",104,"shrub","POLVIV",3
"2019-07-09",5,"north",104,"shrub","POLBIS",0
"2019-07-16",5,"north",104,"shrub","POLBIS",0
"2019-07-23",5,"north",104,"shrub","POLBIS",0
"2019-07-30",5,"north",104,"shrub","POLBIS",0
"2019-08-06",5,"north",104,"shrub","POLBIS",0
"2019-08-13",5,"north",104,"shrub","POLBIS",0
"2019-08-19",5,"north",104,"shrub","POLBIS",0
"2019-07-09",5,"north",104,"shrub","KOBMYO",0
"2019-07-16",5,"north",104,"shrub","KOBMYO",3
"2019-07-23",5,"north",104,"shrub","KOBMYO",0
"2019-07-30",5,"north",104,"shrub","KOBMYO",0
"2019-08-06",5,"north",104,"shrub","KOBMYO",0
"2019-08-13",5,"north",104,"shrub","KOBMYO",0
"2019-08-19",5,"north",104,"shrub","KOBMYO",0
"2019-07-09",5,"north",104,"shrub","LLOSER",0
"2019-07-16",5,"north",104,"shrub","LLOSER",0
"2019-07-23",5,"north",104,"shrub","LLOSER",0
"2019-07-30",5,"north",104,"shrub","LLOSER",0
"2019-08-06",5,"north",104,"shrub","LLOSER",0
"2019-08-13",5,"north",104,"shrub","LLOSER",0
"2019-08-19",5,"north",104,"shrub","LLOSER",0
"2019-07-09",5,"north",104,"shrub","TRIDAS",0
"2019-07-16",5,"north",104,"shrub","TRIDAS",8
"2019-07-23",5,"north",104,"shrub","TRIDAS",9
"2019-07-30",5,"north",104,"shrub","TRIDAS",0
"2019-08-06",5,"north",104,"shrub","TRIDAS",0
"2019-08-13",5,"north",104,"shrub","TRIDAS",0
"2019-08-19",5,"north",104,"shrub","TRIDAS",0
"2019-07-09",5,"north",267,"control","KOBMYO",0
"2019-07-16",5,"north",267,"control","KOBMYO",24
"2019-07-23",5,"north",267,"control","KOBMYO",4
"2019-07-30",5,"north",267,"control","KOBMYO",0
"2019-08-06",5,"north",267,"control","KOBMYO",0
"2019-08-13",5,"north",267,"control","KOBMYO",0
"2019-08-19",5,"north",267,"control","KOBMYO",0
