"date","shrub_num","aspect","tag_num","treatment","species","plant_nr","dist_fr_shr","tp_color","flower_type","flower_count"
2021-07-14,30,"south",159,"shrub","AREFEN",4,6,"BH","new",0
2021-07-14,30,"south",159,"shrub","AREFEN",4,6,"BH","old",0
2021-07-21,30,"south",159,"shrub","AREFEN",4,6,"BH","new",0
2021-07-21,30,"south",159,"shrub","AREFEN",4,6,"BH","old",0
2021-07-28,30,"south",159,"shrub","AREFEN",4,6,"BH","new",0
2021-07-28,30,"south",159,"shrub","AREFEN",4,6,"BH","old",0
2021-08-04,30,"south",159,"shrub","AREFEN",4,6,"BH","new",2
2021-08-04,30,"south",159,"shrub","AREFEN",4,6,"BH","old",0
2021-08-10,30,"south",159,"shrub","AREFEN",4,6,"BH","new",0
2021-08-10,30,"south",159,"shrub","AREFEN",4,6,"BH","old",0
2021-08-19,30,"south",159,"shrub","AREFEN",4,6,"BH","new",0
2021-08-19,30,"south",159,"shrub","AREFEN",4,6,"BH","old",0
2021-06-15,30,"south",159,"shrub","AREFEN",5,30.5,"OH","new",0
2021-06-15,30,"south",159,"shrub","AREFEN",5,30.5,"OH","old",0
2021-06-17,30,"south",159,"shrub","AREFEN",5,30.5,"OH","new",0
2021-06-17,30,"south",159,"shrub","AREFEN",5,30.5,"OH","old",0
2021-06-22,30,"south",159,"shrub","AREFEN",5,30.5,"OH","new",0
2021-06-22,30,"south",159,"shrub","AREFEN",5,30.5,"OH","old",0
2021-06-30,30,"south",159,"shrub","AREFEN",5,30.5,"OH","new",0
2021-06-30,30,"south",159,"shrub","AREFEN",5,30.5,"OH","old",0
2021-07-01,30,"south",159,"shrub","AREFEN",5,30.5,"OH","new",NaN
2021-07-01,30,"south",159,"shrub","AREFEN",5,30.5,"OH","old",NaN
2021-07-08,30,"south",159,"shrub","AREFEN",5,30.5,"OH","new",0
2021-07-08,30,"south",159,"shrub","AREFEN",5,30.5,"OH","old",0
2021-07-14,30,"south",159,"shrub","AREFEN",5,30.5,"OH","new",0
2021-07-14,30,"south",159,"shrub","AREFEN",5,30.5,"OH","old",0
2021-07-21,30,"south",159,"shrub","AREFEN",5,30.5,"OH","new",0
2021-07-21,30,"south",159,"shrub","AREFEN",5,30.5,"OH","old",0
2021-07-28,30,"south",159,"shrub","AREFEN",5,30.5,"OH","new",0
2021-07-28,30,"south",159,"shrub","AREFEN",5,30.5,"OH","old",0
2021-08-04,30,"south",159,"shrub","AREFEN",5,30.5,"OH","new",2
2021-08-04,30,"south",159,"shrub","AREFEN",5,30.5,"OH","old",0
2021-08-10,30,"south",159,"shrub","AREFEN",5,30.5,"OH","new",0
2021-08-10,30,"south",159,"shrub","AREFEN",5,30.5,"OH","old",0
2021-08-19,30,"south",159,"shrub","AREFEN",5,30.5,"OH","new",0
2021-08-19,30,"south",159,"shrub","AREFEN",5,30.5,"OH","old",0
2021-06-15,30,"south",160,"control","TETACA",1,46,"YD","new",0
2021-06-15,30,"south",160,"control","TETACA",1,46,"YD","old",0
2021-06-17,30,"south",160,"control","TETACA",1,46,"YD","new",0
2021-06-17,30,"south",160,"control","TETACA",1,46,"YD","old",0
2021-06-22,30,"south",160,"control","TETACA",1,46,"YD","new",0
2021-06-22,30,"south",160,"control","TETACA",1,46,"YD","old",0
2021-06-30,30,"south",160,"control","TETACA",1,46,"YD","new",1
2021-06-30,30,"south",160,"control","TETACA",1,46,"YD","old",0
2021-07-01,30,"south",160,"control","TETACA",1,46,"YD","new",NaN
2021-07-01,30,"south",160,"control","TETACA",1,46,"YD","old",NaN
2021-07-08,30,"south",160,"control","TETACA",1,46,"YD","new",0
2021-07-08,30,"south",160,"control","TETACA",1,46,"YD","old",1
2021-07-14,30,"south",160,"control","TETACA",1,46,"YD","new",0
2021-07-14,30,"south",160,"control","TETACA",1,46,"YD","old",1
2021-07-21,30,"south",160,"control","TETACA",1,46,"YD","new",0
2021-07-21,30,"south",160,"control","TETACA",1,46,"YD","old",0
2021-07-28,30,"south",160,"control","TETACA",1,46,"YD","new",0
2021-07-28,30,"south",160,"control","TETACA",1,46,"YD","old",0
2021-08-04,30,"south",160,"control","TETACA",1,46,"YD","new",0
2021-08-04,30,"south",160,"control","TETACA",1,46,"YD","old",0
2021-08-10,30,"south",160,"control","TETACA",1,46,"YD","new",0
2021-08-10,30,"south",160,"control","TETACA",1,46,"YD","old",0
2021-08-19,30,"south",160,"control","TETACA",1,46,"YD","new",0
2021-08-19,30,"south",160,"control","TETACA",1,46,"YD","old",0
2021-06-15,30,"south",160,"control","AREFEN",1,NaN,"WD","new",0
2021-06-15,30,"south",160,"control","AREFEN",1,NaN,"WD","old",0
2021-06-17,30,"south",160,"control","AREFEN",1,NaN,"WD","new",0
2021-06-17,30,"south",160,"control","AREFEN",1,NaN,"WD","old",0
2021-06-22,30,"south",160,"control","AREFEN",1,NaN,"WD","new",0
2021-06-22,30,"south",160,"control","AREFEN",1,NaN,"WD","old",0
2021-06-30,30,"south",160,"control","AREFEN",1,NaN,"WD","new",1
2021-06-30,30,"south",160,"control","AREFEN",1,NaN,"WD","old",0
2021-07-01,30,"south",160,"control","AREFEN",1,NaN,"WD","new",NaN
2021-07-01,30,"south",160,"control","AREFEN",1,NaN,"WD","old",NaN
2021-07-08,30,"south",160,"control","AREFEN",1,NaN,"WD","new",5
2021-07-08,30,"south",160,"control","AREFEN",1,NaN,"WD","old",2
2021-07-14,30,"south",160,"control","AREFEN",1,NaN,"WD","new",1
2021-07-14,30,"south",160,"control","AREFEN",1,NaN,"WD","old",0
2021-07-21,30,"south",160,"control","AREFEN",1,NaN,"WD","new",3
2021-07-21,30,"south",160,"control","AREFEN",1,NaN,"WD","old",0
2021-07-28,30,"south",160,"control","AREFEN",1,NaN,"WD","new",0
2021-07-28,30,"south",160,"control","AREFEN",1,NaN,"WD","old",2
2021-08-04,30,"south",160,"control","AREFEN",1,NaN,"WD","new",3
2021-08-04,30,"south",160,"control","AREFEN",1,NaN,"WD","old",0
2021-08-10,30,"south",160,"control","AREFEN",1,NaN,"WD","new",0
2021-08-10,30,"south",160,"control","AREFEN",1,NaN,"WD","old",0
2021-08-19,30,"south",160,"control","AREFEN",1,NaN,"WD","new",0
2021-08-19,30,"south",160,"control","AREFEN",1,NaN,"WD","old",0
2021-06-15,30,"south",160,"control","AREFEN",2,NaN,"YS","new",0
2021-06-15,30,"south",160,"control","AREFEN",2,NaN,"YS","old",0
2021-06-17,30,"south",160,"control","AREFEN",2,NaN,"YS","new",0
2021-06-17,30,"south",160,"control","AREFEN",2,NaN,"YS","old",0
2021-06-22,30,"south",160,"control","AREFEN",2,NaN,"YS","new",0
2021-06-22,30,"south",160,"control","AREFEN",2,NaN,"YS","old",0
2021-06-30,30,"south",160,"control","AREFEN",2,NaN,"YS","new",0
2021-06-30,30,"south",160,"control","AREFEN",2,NaN,"YS","old",0
2021-07-01,30,"south",160,"control","AREFEN",2,NaN,"YS","new",NaN
2021-07-01,30,"south",160,"control","AREFEN",2,NaN,"YS","old",NaN
2021-07-08,30,"south",160,"control","AREFEN",2,NaN,"YS","new",0
2021-07-08,30,"south",160,"control","AREFEN",2,NaN,"YS","old",0
2021-07-14,30,"south",160,"control","AREFEN",2,NaN,"YS","new",7
2021-07-14,30,"south",160,"control","AREFEN",2,NaN,"YS","old",0
2021-07-21,30,"south",160,"control","AREFEN",2,NaN,"YS","new",8
